989,987,987
989,992,993
984,982,980
979,976,976
986,987,988
992,993,994
986,984,984
977,979,978
987,985,985
1243,998,997
1236,1002,989
1228,1003,983
1235,1014,990
1241,1037,1013
1236,1039,1014
1233,1035,1008
1236,1041,1015
1237,1054,1031
1242,1064,1040
1236,1058,1033
1228,1060,1037
1237,1069,1046
1241,1084,1061
1234,1079,1057
1231,1073,1051
1234,1083,1061
1239,1099,1080
1237,1098,1079
1232,1090,1070
1237,1094,1075
1238,1109,1092
1242,1116,1100
1234,1108,1090
1229,1109,1092
1235,1123,1108
1241,1130,1114
1236,1127,1112
1226,1120,1104
1235,1127,1111
1238,1142,1129
1240,1142,1128
1230,1132,1118
1235,1134,1120
1238,1152,1140
1241,1153,1141
1232,1140,1126
1229,1141,1129
1237,1157,1147
1241,1160,1148
1234,1159,1148
1226,1149,1138
1233,1158,1147
1243,1173,1163
1231,1170,1161
1232,1158,1147
1236,1161,1149
1237,1177,1169
1242,1177,1168
1235,1166,1156
1233,1168,1159
1235,1178,1171
1242,1183,1174
1234,1175,1166
1227,1172,1164
1235,1181,1174
1243,1193,1187
1237,1188,1181
1232,1178,1170
1235,1181,1173
1237,1199,1193
1237,1196,1191
1236,1182,1174
1231,1187,1179
1236,1201,1196
1237,1202,1197
1233,1190,1184
1228,1188,1183
1239,1199,1195
1245,1207,1202
2489,1208,1196
2476,1264,1197
2486,1316,1217
2485,1372,1257
2484,1402,1280
2478,1419,1289
2483,1455,1323
2488,1490,1361
2489,1520,1390
2482,1534,1404
2476,1556,1430
2485,1588,1465
2491,1617,1497
2480,1627,1508
2474,1644,1528
2485,1669,1556
2486,1702,1593
2481,1715,1609
2482,1720,1615
2482,1747,1644
2488,1776,1678
2485,1794,1698
2483,1797,1701
2480,1814,1720
2482,1835,1745
2489,1858,1770
2483,1870,1782
2474,1874,1790
2482,1901,1821
2491,1921,1842
1237,1925,1853
1232,1860,1848
1237,1829,1848
1238,1814,1856
1237,1787,1840
1232,1755,1812
1237,1739,1797
1239,1728,1792
1240,1722,1784
1234,1698,1756
1233,1681,1739
1232,1675,1733
1241,1673,1730
1236,1652,1708
1228,1630,1685
1236,1629,1684
1242,1628,1681
1235,1615,1668
1230,1590,1639
1238,1581,1628
1241,1588,1636
1238,1576,1623
1234,1556,1598
1234,1547,1590
1233,1547,1591
1237,1544,1586
1234,1526,1565
1229,1514,1552
1235,1513,1552
1241,1516,1553
1235,1504,1540
1228,1485,1519
1233,1481,1514
1237,1490,1524
1235,1479,1512
1235,1457,1489
1233,1455,1485
1236,1464,1495
1243,1458,1488
1232,1437,1466
2476,1440,1460
2485,1509,1474
2489,1560,1492
2482,1589,1503
2473,1607,1511
2487,1642,1541
2491,1681,1578
2484,1697,1595
2476,1708,1605
2485,1731,1630
2485,1765,1667
2485,1781,1686
2482,1789,1694
2479,1807,1713
2481,1835,1747
2491,1857,1769
2481,1864,1778
2477,1875,1791
2484,1896,1813
2487,1920,1842
2483,1929,1853
2472,1939,1864
2480,1949,1876
2491,1975,1906
2484,1988,1919
2480,1985,1915
2481,1999,1932
2484,2026,1963
2487,2039,1977
2478,2033,1971
2481,2048,1986
2485,2064,2006
2487,2084,2026
2480,2084,2027
2476,2089,2033
2486,2105,2053
2489,2124,2073
2483,2127,2078
2478,2123,2073
2481,2133,2083
2489,2157,2112
2480,2165,2121
2476,2160,2112
2485,2164,2120
2485,2186,2145
2488,2195,2153
2480,2191,2150
2477,2194,2155
2485,2209,2172
2486,2222,2185
2482,2224,2187
2474,2220,2184
2485,2230,2194
2482,2253,2220
2483,2250,2218
2476,2242,2210
2479,2252,2219
2487,2270,2241
2482,2276,2246
2480,2270,2240
1232,2263,2241
1236,2212,2248
1243,2176,2244
1235,2128,2211
1229,2091,2186
1237,2071,2173
1240,2057,2160
1238,2022,2126
1228,1990,2091
1236,1974,2073
2485,1973,2065
2484,2016,2050
2482,2034,2032
2481,2059,2035
2486,2085,2054
2488,2104,2066
2481,2112,2068
2476,2116,2071
2480,2137,2093
2487,2153,2109
2481,2153,2109
2474,2155,2112
2485,2166,2124
2488,2190,2149
2481,2192,2153
2480,2187,2147
2479,2197,2160
2485,2217,2180
2487,2224,2188
2482,2219,2182
2480,2224,2187
2485,2244,2211
2485,2254,2221
